,Provincia,Valoración,Puja mínima,Derecho a subastar,Porcentaje titularidad,Ref. catastral,Código registral,¿PUJAR? Aquí (Subasta BOE),Fecha de conclusión subasta,Cargas
0,León,1.634 €,"163,40 €",Pleno dominio,100%,24220A203000190000JT,24002001497643,SUB-AT-2024-24R4786001147,27/01/2025,
1,León,5.780 €,578 €,Pleno dominio,100%,24128A302000440000ML,24002001144141,SUB-AT-2024-24R4786001146,27/01/2025,
2,León,250.000 €,,Pleno dominio,100%,6606946TN8260N0001SR,24013002348971,SUB-AT-2025-24R4786001169,03/02/2025,"77.735,39 €"
