Valor,Último,Var,Var%,Vol,Anterior,Máximo,Mínimo,Hora
PROSEGUR CASH,6100,120,201,253K,5980,06120,06000,12:11:10
PUIG BRANDS B RG,160400,-900,-56,152K,161300,161900,160100,12:11:29
REALIA,10150,0,0,8K,10150,10150,10150,10:26:51
REDEIA CORPORACIÓN,148600,1300,88,179K,147300,148700,147300,12:12:05
RENTA 4,191000,1000,53,1K,190000,193000,190500,11:36:33
RENTA CORP.,7980,80,101,5K,7900,07980,07980,10:16:59
REPSOL,222700,2300,104,417K,220400,224100,222200,12:11:52
SACYR,46840,320,69,290K,46520,47000,46180,12:09:23
SANTANDER,107300,20,2,4M,107280,107820,106720,12:12:17
SOLARIA,238900,3900,166,264K,235000,240400,233000,12:04:01
SOLTEC,9250,-250,-263,251K,9500,09550,09250,12:10:06
SQUIRREL MEDIA,24200,-200,-82,6K,24400,24800,24200,11:24:56
ST CROIX HLD IMM RG,685000,0,0,0,685000,-,-,CIERRE
SUPERMERCADOS DIA,392000,-6000,-151,4K,398000,395500,390500,12:06:44
TALGO,27100,0,0,23K,27100,27200,27000,12:01:03
TEC.REUNIDAS,316800,1600,51,42K,315200,321000,315000,12:11:43
TELEFONICA,39630,250,63,2M,39380,39680,39170,12:12:14
TR JARDIN DEL MA BR,10000,0,0,0,10000,-,-,CIERRE
TSK ELECTRON RG,56900,-1200,-207,30K,58100,58100,56700,11:57:44
TUBACEX,31250,250,81,113K,31000,31550,30600,12:03:37
TUBOS REUNID,1438,0,0,0,1438,-,-,CIERRE
UNICAJA BANCO,28820,80,28,859K,28740,28900,28500,12:12:10
URBAR INGENIEROS BR,730,0,0,0,730,-,-,CIERRE
URBAS,22,0,0,0,22,-,-,CIERRE
VIDRALA,763000,-6000,-78,10K,769000,769000,762000,11:51:31
VISCOFAN,592000,-2000,-34,19K,594000,593000,590000,12:11:46
VOCENTO,8200,100,123,15K,8100,08200,07960,11:56:45
